"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
2.710 GHz,0.744 / -42.329 ,0.100 / -152.523 ,2.003 / -152.973 ,0.505 / -27.686 
2.720 GHz,0.720 / -45.267 ,0.103 / -157.173 ,2.060 / -157.673 ,0.480 / -28.109 
2.730 GHz,0.691 / -48.283 ,0.107 / -162.124 ,2.118 / -162.674 ,0.454 / -27.863 
2.740 GHz,0.657 / -51.283 ,0.111 / -167.495 ,2.179 / -168.095 ,0.427 / -26.677 
2.750 GHz,0.617 / -54.159 ,0.115 / -173.393 ,2.240 / -174.043 ,0.400 / -24.171 
2.760 GHz,0.571 / -56.738 ,0.118 / -179.853 ,2.298 / 179.447 ,0.377 / -19.907 
2.770 GHz,0.518 / -58.664 ,0.122 / 173.052 ,2.350 / 172.302 ,0.366 / -13.837 
2.780 GHz,0.460 / -59.365 ,0.125 / 165.278 ,2.389 / 164.478 ,0.373 / -6.595 
2.790 GHz,0.400 / -57.931 ,0.127 / 156.847 ,2.409 / 155.997 ,0.401 / 0.257 
2.800 GHz,0.345 / -52.890 ,0.127 / 147.727 ,2.400 / 146.827 ,0.452 / 5.059 
2.810 GHz,0.309 / -43.184 ,0.126 / 137.952 ,2.358 / 137.052 ,0.520 / 7.048 
2.820 GHz,0.307 / -30.846 ,0.122 / 127.707 ,2.277 / 126.807 ,0.597 / 6.419 
2.830 GHz,0.340 / -20.748 ,0.117 / 117.206 ,2.160 / 116.256 ,0.673 / 3.827 
2.840 GHz,0.392 / -15.391 ,0.109 / 106.551 ,2.013 / 105.551 ,0.742 / -0.033 
2.850 GHz,0.450 / -14.010 ,0.101 / 95.769 ,1.847 / 94.769 ,0.800 / -4.579 
2.860 GHz,0.500 / -14.909 ,0.092 / 84.820 ,1.674 / 83.820 ,0.844 / -9.380 
2.870 GHz,0.539 / -16.753 ,0.083 / 73.451 ,1.503 / 72.351 ,0.874 / -14.145 
2.880 GHz,0.562 / -18.432 ,0.074 / 60.936 ,1.337 / 59.736 ,0.890 / -18.651 
2.890 GHz,0.571 / -18.563 ,0.066 / 45.877 ,1.175 / 44.677 ,0.893 / -22.618 
2.900 GHz,0.587 / -15.205 ,0.056 / 26.154 ,0.992 / 24.954 ,0.886 / -25.517 
2.910 GHz,0.673 / -10.457 ,0.042 / -0.110 ,0.739 / -1.360 ,0.886 / -26.792 
2.920 GHz,0.829 / -13.201 ,0.024 / -30.041 ,0.418 / -31.341 ,0.921 / -28.059 
2.930 GHz,0.936 / -21.501 ,0.010 / -54.568 ,0.167 / -55.918 ,0.962 / -31.365 
2.940 GHz,0.976 / -29.138 ,0.003 / -68.382 ,0.044 / -69.782 ,0.984 / -35.412 
2.950 GHz,0.987 / -35.056 ,1.930E-4 / -54.970 ,0.003 / -56.420 ,0.991 / -39.215 
2.960 GHz,0.990 / -39.774 ,2.529E-4 / -132.322 ,0.004 / -133.822 ,0.992 / -42.653 
2.970 GHz,0.989 / -43.743 ,0.001 / -121.442 ,0.025 / -122.942 ,0.990 / -45.797 
2.980 GHz,0.988 / -47.232 ,0.003 / -123.572 ,0.054 / -125.072 ,0.986 / -48.719 
2.990 GHz,0.987 / -50.396 ,0.005 / -127.125 ,0.088 / -128.725 ,0.982 / -51.472 
3.000 GHz,0.986 / -53.328 ,0.007 / -130.862 ,0.122 / -132.562 ,0.977 / -54.093 
3.010 GHz,0.986 / -56.085 ,0.009 / -134.529 ,0.156 / -136.229 ,0.972 / -56.608 
3.020 GHz,0.985 / -58.707 ,0.012 / -138.049 ,0.190 / -139.749 ,0.968 / -59.037 
3.030 GHz,0.984 / -61.221 ,0.014 / -141.416 ,0.222 / -143.116 ,0.963 / -61.395 
3.040 GHz,0.983 / -63.647 ,0.016 / -144.642 ,0.253 / -146.342 ,0.958 / -63.695 
3.050 GHz,0.982 / -65.999 ,0.017 / -147.743 ,0.283 / -149.443 ,0.953 / -65.946 
3.060 GHz,0.981 / -68.289 ,0.019 / -150.733 ,0.311 / -152.433 ,0.948 / -68.155 
3.070 GHz,0.980 / -70.527 ,0.021 / -153.628 ,0.338 / -155.328 ,0.943 / -70.329 
3.080 GHz,0.979 / -72.718 ,0.023 / -156.440 ,0.364 / -158.140 ,0.939 / -72.473 
3.090 GHz,0.978 / -74.870 ,0.025 / -159.179 ,0.389 / -160.879 ,0.934 / -74.594 
3.100 GHz,0.977 / -76.987 ,0.026 / -161.855 ,0.412 / -163.555 ,0.929 / -76.693 
3.110 GHz,0.976 / -79.074 ,0.028 / -164.468 ,0.435 / -166.188 ,0.925 / -78.778 
3.120 GHz,0.975 / -81.133 ,0.029 / -167.032 ,0.457 / -168.772 ,0.920 / -80.849 
3.130 GHz,0.974 / -83.169 ,0.031 / -169.554 ,0.479 / -171.314 ,0.915 / -82.909 
3.140 GHz,0.973 / -85.184 ,0.032 / -172.040 ,0.499 / -173.820 ,0.911 / -84.961 
3.150 GHz,0.971 / -87.179 ,0.034 / -174.493 ,0.519 / -176.293 ,0.906 / -87.008 
3.160 GHz,0.970 / -89.158 ,0.035 / -176.918 ,0.539 / -178.738 ,0.901 / -89.050 
3.170 GHz,0.969 / -91.123 ,0.037 / -179.319 ,0.558 / 178.841 ,0.897 / -91.091 
3.180 GHz,0.968 / -93.074 ,0.038 / 178.301 ,0.576 / 176.441 ,0.892 / -93.132 
3.190 GHz,0.966 / -95.013 ,0.040 / 175.938 ,0.595 / 174.058 ,0.887 / -95.174 
3.200 GHz,0.965 / -96.942 ,0.041 / 173.590 ,0.613 / 171.690 ,0.882 / -97.220 
